,Popularity
1792,61.0
642,70.0
1879,79.0
612,82.0
1762,58.0
960,59.0
1570,61.0
725,88.0
683,69.0
98,30.0
804,53.0
1751,61.0
1597,82.0
406,57.0
502,51.0
1071,58.0
1056,63.0
929,65.0
779,73.0
200,63.0
134,59.0
1051,62.0
40,59.0
1017,74.0
230,64.0
1513,80.0
1796,75.0
378,61.0
288,47.0
418,48.0
1698,50.0
391,76.0
592,66.0
1522,58.0
1162,56.0
1086,53.0
1495,65.0
647,67.0
1152,59.0
1367,42.0
520,63.0
64,77.0
1836,66.0
14,66.0
1180,67.0
1064,74.0
492,42.0
379,48.0
187,26.0
763,17.0
216,41.0
791,100.0
1076,68.0
878,43.0
337,76.0
1772,51.0
719,71.0
1748,33.0
295,68.0
1725,64.0
1016,52.0
1275,74.0
1750,76.0
1485,57.0
455,52.0
1983,69.0
815,50.0
269,53.0
995,60.0
201,58.0
161,46.0
1579,45.0
729,82.0
401,48.0
702,69.0
1500,59.0
1845,73.0
1795,74.0
1129,53.0
565,84.0
1413,68.0
1021,68.0
1025,44.0
1411,72.0
1895,72.0
1585,58.0
1104,74.0
205,49.0
34,72.0
775,82.0
508,54.0
1451,72.0
1478,76.0
1957,61.0
1390,71.0
91,74.0
1363,32.0
897,65.0
564,57.0
1369,53.0
776,70.0
241,70.0
13,26.0
315,77.0
600,82.0
387,65.0
1297,65.0
166,41.0
840,58.0
20,81.0
646,63.0
1842,77.0
1508,38.0
1154,74.0
1528,65.0
831,58.0
1267,81.0
1590,73.0
1899,65.0
562,78.0
1938,66.0
686,87.0
957,69.0
189,59.0
1806,41.0
975,51.0
699,62.0
1499,57.0
1705,76.0
510,57.0
1082,68.0
474,42.0
1584,74.0
856,35.0
747,81.0
252,47.0
21,67.0
1337,70.0
459,65.0
1184,65.0
276,62.0
955,46.0
1215,68.0
385,45.0
805,71.0
1437,34.0
1515,74.0
343,56.0
769,33.0
1332,57.0
1685,46.0
130,58.0
1687,56.0
871,39.0
1123,57.0
1396,78.0
87,43.0
1482,73.0
330,73.0
1238,81.0
466,75.0
121,62.0
1638,71.0
1044,73.0
1724,68.0
1095,49.0
1130,59.0
1294,62.0
860,37.0
1459,74.0
1126,49.0
